algorithm,k,silhouette,davies_bouldin,calinski_harabasz,noise_count
KMeans,2,0.7285,0.5978,148.65,
GaussianMixture,2,0.7285,0.5978,148.65,
Agglomerative,2,0.7285,0.5978,148.65,
KMeans,3,0.4157,0.99,116.97,
GaussianMixture,3,0.2664,1.5362,104.6,
Agglomerative,3,0.5398,0.7388,112.69,
KMeans,4,0.308,1.1572,110.86,
GaussianMixture,4,0.2897,1.259,106.55,
Agglomerative,4,0.3419,0.945,106.03,
KMeans,5,0.319,1.1453,100.85,
GaussianMixture,5,0.1196,2.0437,83.81,
Agglomerative,5,0.3018,1.0694,94.92,
KMeans,6,0.2357,1.243,89.9,
GaussianMixture,6,0.2083,1.4529,80.88,
Agglomerative,6,0.3011,1.094,86.77,
HDBSCAN,2,0.3473,0.7696,18.95,41.0
