issue_assignee,median_resolution_days,avg_resolution_days,std_resolution_days,pct_fast_resolved,total_tickets,tickets_per_month,active_months,avg_priority,pct_high_priority,n_distinct_projects,n_distinct_categories,pct_reopened,resolution_rate,avg_comments,pct_sole_resolver,avg_first_response_days,avg_processing_steps
-.3.jn2,0.0036133333333333334,0.08612209138486311,0.6207011014073618,1.0,92.0,0.0,0.0,2.010869565217391,0.010869565217391304,17.0,3.0,0.0,1.0,0.717391304347826,0.0,7.021773440945774,1.0434782608695652
-zvz7e,0.004719571759259259,16.135264979745372,45.33254782005783,0.875,8.0,0.0,0.0,2.125,0.125,5.0,3.0,0.125,1.0,1.375,0.0,7.021773440945774,2.125
.wy.z0yhg,53.04292824074074,44.14523148148148,19.38289012128847,0.0,9.0,4.5,2.0,2.3333333333333335,0.3333333333333333,1.0,2.0,1.0,0.0,1.7777777777777777,0.0,0.7800244341563786,4.555555555555555
0ny0x93ygh,92.43757523148147,107.03313425925927,99.58661713729792,0.2,10.0,1.4285714285714286,7.0,2.0,0.0,6.0,2.0,0.1,1.0,11.3,0.0,0.39225578703703706,3.5
0ny0x93ygi,3.9488469965277773,16.821338392489714,40.50612035714905,0.7777777777777778,18.0,2.25,8.0,2.0,0.0,10.0,3.0,0.05555555555555555,1.0,5.444444444444445,0.0,0.6037297453703704,2.8333333333333335
0ny0x93ygr,18.563625868055553,46.778670000428676,72.12822704820483,0.37037037037037035,27.0,3.0,9.0,2.037037037037037,0.037037037037037035,11.0,5.0,0.14814814814814814,1.0,10.481481481481481,0.03703703703703709,58.568131751543206,2.962962962962963
0ny0x93yhg,0.0008983333333333333,3.3956591805555547,6.510358598604976,0.8,5.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,8.8,0.4,7.021773440945774,2.2
0ny0x93yho,0.029307071759259257,27.149697017746917,43.46905663207426,0.6666666666666666,9.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,7.555555555555555,0.11111111111111116,7.021773440945774,2.111111111111111
0ny0x93yhr,14.095311886574075,32.6007127662037,49.89404444969045,0.4,5.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,21.2,0.19999999999999996,7.021773440945774,3.0
0zxu.ad,0.060856481481481484,5.301073717948718,11.661975092042843,0.8461538461538461,13.0,1.1818181818181819,11.0,3.4615384615384617,0.6923076923076923,10.0,2.0,0.0,1.0,1.4615384615384615,0.0,0.007411858974358974,1.0
1.ca.cz38azew8x3djd4aa.c3,0.00719005787037037,0.15979423739711934,0.30394325876774514,1.0,9.0,3.0,3.0,2.111111111111111,0.1111111111111111,3.0,2.0,0.0,1.0,1.4444444444444444,0.0,0.0008641975308641976,1.0
1.ca.cz38j18x3czvj.ad,0.004427488425925926,0.07214187062062062,0.2749674454035186,1.0,37.0,4.625,8.0,2.2972972972972974,0.16216216216216217,9.0,4.0,0.0,0.972972972972973,0.5675675675675675,0.027027027027026973,0.0014853395061728396,1.027027027027027
