contributors,turn_no,steps,spent_hours,comments_count,priority_numeric,Q1,Q2,Q3
1.0,1,2,3402.456,49,3.0,5,5,5
1.0,1,3,170.342,4,2.0,3,4,4
3.0,1,2,0.074,3,2.0,5,5,5
2.0,2,2,3509.266,21,2.0,1,1,1
2.0,3,3,5178.264,19,2.0,1,1,1
6.0,1,2,0.078,3,2.0,5,5,5
2.0,2,2,3508.488,18,2.0,1,1,1
2.0,3,1,3865.889,21,2.0,1,1,1
2.0,4,1,501.446,0,2.0,1,1,1
2.0,5,1,0.093,0,2.0,1,1,1
2.0,6,1,0.056,0,2.0,5,5,5
2.0,7,3,2163.177,3,2.0,5,5,5
2.0,1,2,0.071,4,2.0,5,5,5
2.0,2,2,22.608,2,2.0,2,2,3
4.0,1,2,0.023,2,2.0,5,5,5
2.0,2,1,0.101,0,2.0,1,1,1
2.0,3,1,0.64,0,2.0,5,5,5
2.0,4,1,0.013,0,2.0,5,5,5
2.0,5,1,0.409,3,2.0,2,2,3
2.0,1,2,0.076,3,3.0,5,5,5
2.0,2,6,3789.245,49,2.0,2,1,4
1.0,1,8,2233.083,30,3.0,4,3,5
2.0,1,2,0.04,3,2.0,5,5,5
2.0,2,3,7691.157,95,2.0,3,3,3
2.0,1,2,0.051,3,2.0,5,5,5
2.0,2,10,1722.546,48,2.0,4,3,5
2.0,1,2,0.06,3,2.0,5,5,5
2.0,2,3,1007.815,18,2.0,4,4,5
3.0,1,2,0.148,3,2.0,5,5,5
2.0,2,2,0.695,2,2.0,4,4,4
2.0,3,2,1482.557,14,2.0,3,3,3
2.0,1,2,0.148,3,3.0,5,5,5
2.0,2,1,0.167,1,2.0,4,4,4
1.0,1,3,1342.388,11,2.0,4,4,4
2.0,1,2,0.065,3,3.0,5,5,5
2.0,2,2,2997.455,23,2.0,1,1,1
2.0,1,1,0.676,4,2.0,5,5,5
2.0,2,4,2715.66,16,2.0,5,5,5
1.0,1,2,166.229,18,3.0,5,5,5
2.0,1,2,0.226,3,3.0,5,5,5
2.0,2,3,6681.004,10,2.0,3,3,3
2.0,1,2,0.148,3,2.0,5,5,5
2.0,2,1,46.086,8,2.0,4,4,4
2.0,1,3,0.053,3,3.0,5,5,5
2.0,2,3,1363.488,23,2.0,5,5,5
1.0,1,2,0.864,4,2.0,5,5,5
2.0,1,2,0.151,3,3.0,5,5,5
2.0,2,3,3.811,4,2.0,5,5,5
2.0,1,1,0.076,3,2.0,5,5,5
2.0,2,3,2066.698,51,2.0,2,2,2
3.0,1,2,0.017,2,3.0,5,5,5
2.0,2,1,0.023,2,2.0,5,5,5
2.0,3,2,1.022,3,2.0,5,5,5
2.0,1,2,0.182,3,3.0,5,5,5
2.0,2,3,2517.578,18,2.0,4,4,4
2.0,1,2,0.086,4,2.0,5,5,5
2.0,2,3,0.744,2,2.0,5,5,5
1.0,1,8,3526.964,45,3.0,4,4,4
2.0,1,2,0.094,3,2.0,5,5,5
2.0,2,2,6.674,2,2.0,5,5,5
1.0,1,4,0.888,5,2.0,5,5,5
2.0,1,2,0.061,3,2.0,5,5,5
2.0,2,4,127.567,5,2.0,5,5,5
2.0,1,2,0.058,3,3.0,5,5,5
2.0,2,11,7847.777,192,2.0,1,1,1
3.0,1,1,0.011,2,2.0,5,5,5
2.0,2,2,0.031,2,2.0,5,5,5
2.0,3,2,690.374,8,2.0,5,5,5
2.0,1,2,0.058,3,3.0,5,5,5
2.0,2,1,45.327,4,2.0,5,5,5
2.0,1,2,0.107,3,2.0,5,5,5
2.0,2,3,6206.081,10,2.0,3,3,3
2.0,1,3,2688.167,20,1.0,2,2,2
2.0,2,5,5178.891,3,2.0,2,2,2
