employee,overall_score,ticket_count,risk_level,training_areas,flags,recommendations
4lll,1.5,1,YELLOW,"Qualität der Lösungen, Allgemeine Performance",-,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4hggg,2.0,1,YELLOW,"Qualität der Lösungen, Allgemeine Performance",-,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4lqg,2.0,1,YELLOW,"Qualität der Lösungen, Allgemeine Performance",-,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4hgsg,3.0,1,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4kll,3.0,4,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4kpk,3.0,3,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4kpq,3.0,2,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4qsh,3.0,1,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4skr,3.17,12,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4oio,3.42,3,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4lsh,3.44,4,YELLOW,Allgemeine Performance,-,Mentoring: Pair-Work mit erfahrenem Kollegen
4ssh,3.67,3,YELLOW,Konsistenz,-,Coaching: Checklisten für gleichbleibende Qualität
0ny0x23yoi,1.0,1,RED,"Qualität der Lösungen, Allgemeine Performance","Kritisch niedrige Performance, Sehr schlechte Einzelbewertungen",Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4hgir,1.0,1,RED,"Qualität der Lösungen, Allgemeine Performance","Kritisch niedrige Performance, Sehr schlechte Einzelbewertungen",Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4sgg,1.86,7,RED,"Qualität der Lösungen, Allgemeine Performance",Sehr schlechte Einzelbewertungen,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4hgog,1.96,6,RED,"Qualität der Lösungen, Allgemeine Performance",Sehr schlechte Einzelbewertungen,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4pio,2.0,2,RED,"Qualität der Lösungen, Allgemeine Performance",Sehr schlechte Einzelbewertungen,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4lhl,2.11,24,RED,"Qualität der Lösungen, Allgemeine Performance",Sehr schlechte Einzelbewertungen,Workshop: Systematische Problemanalyse; Mentoring: Pair-Work mit erfahrenem Kollegen
4hlg,2.5,2,RED,"Konsistenz, Allgemeine Performance",Sehr schlechte Einzelbewertungen,Coaching: Checklisten für gleichbleibende Qualität; Mentoring: Pair-Work mit erfahrenem Kollegen
4sil,2.5,2,RED,"Konsistenz, Allgemeine Performance",Sehr schlechte Einzelbewertungen,Coaching: Checklisten für gleichbleibende Qualität; Mentoring: Pair-Work mit erfahrenem Kollegen
